Day,Sales,Trading Profit,Operating Expense,Net Profit
11,1620654,-351865,1111829,-1459602
12,1843612,-188302,1159944,-1344154
13,2185004,92017,1188059,-1091932
14,2399198,234417,1289096,-1050569
15,2623685,376135,1400993,-1020748
16,2828902,496628,1472030,-971292
17,3036470,616530,1571067,-950427
18,3276757,-1180207,1863979,-3040076
19,3482780,-973617,1933052,-2902559
20,3689994,-862449,2004575,-2862914
21,5162502,493246,2169868,-1673540
22,5388019,659779,2238903,-1576042
23,5665591,848901,2309302,-1456291
24,6977546,2058240,2469448,-407612
25,9901722,4952041,2612473,2339568
26,10161501,5088731,2679258,2409473
27,10454045,5293220,2745283,2547937
28,10694240,5408674,2831892,2576782
29,11147194,5712997,2901184,2812840
30,11393947,5506335,3022137,2485739
31,11835276,5838498,3121465,2718574
32,12175401,6121085,3189728,2931614
33,14283081,7675857,3283643,4392214
34,16223350,9100250,3354924,5745326
35,18293829,9721364,3635930,6085434
36,18608879,9976981,3704011,6272970
37,19543139,10836329,3804092,7032237
38,19815687,11030184,3902479,7127705
39,20080075,10787839,4040010,6747829
40,20358105,9704829,4260629,5444200
41,20900777,10157552,4363918,5793634
42,21253837,10458536,4452237,6006299
43,21640324,10687781,4523976,6163805
44,23756109,10774927,4731169,6043758
45,26022114,11904707,4890728,7013979
46,26455190,12285543,4960026,7325517
47,29278434,15025031,5118324,9906707
48,30928951,16578718,5325153,11253565
49,33596146,19127836,5428091,13699745
50,34901299,20381140,5529429,14851711
51,35299526,20706724,5600123,15106601
52,36482226,21601550,5724657,15876893
53,37469391,22442863,5797192,16645671
54,38552161,23017671,5914249,17103422
55,38909056,23055618,6034108,17021510
56,39269491,23216706,6119984,17096722
57,39623561,23563962,6194560,17369402
58,40036381,23564599,6314444,17250155
59,40915221,24384721,6430062,17954659
60,41317581,23943008,6678213,17264795
61,42124966,23834109,6863252,16970857
62,42554102,23562775,7030537,16532238
63,43253830,24185674,7112709,17072965
64,43747832,24031945,7255724,16776221
65,45976994,26084972,7359306,18725666
66,46454262,26008949,7491973,18516976
67,46899888,26388220,7555855,18832365
68,48616498,28089180,7706437,20382743
69,49107752,28535195,7764463,20770732
70,53204432,32343919,7872489,24471430
71,57526276,35975697,8084309,27891388
72,60632022,38674262,8144540,30529722
73,62158597,39498025,8375733,31122292
74,62629792,39940382,8437415,31502967
75,63191117,40435236,8499097,31936139
76,63656507,40855891,8562479,32293412
77,64149682,41305173,8640861,32664312
78,65631957,42721876,8705543,34016333
79,66116887,42621116,8893672,33727444
80,66588537,42981067,8987100,33993967
81,67158072,43055974,9128999,33926975
82,67665482,43418140,9234288,34183852
83,68164097,42778323,9517499,33260824
84,71579227,45473391,9769857,35703534
85,74588382,48308183,9830758,38477425
86,75087822,48533634,9893069,38640565
87,75730292,48945755,10007410,38938345
88,76233797,49492632,10071151,39421481
89,76894259,49988689,10133627,39855062
90,77837519,50865572,10219208,40646364
